Protein.Group,Gene.Symbol,hDIA02_2nd_fraction001,hDIA02_2nd_fraction002,hDIA02_2nd_fraction003,hDIA02_2nd_fraction004,hDIA02_2nd_fraction005,hDIA02_2nd_fraction006,hDIA02_2nd_fraction007,hDIA02_2nd_fraction008,hDIA02_2nd_fraction009,hDIA02_2nd_fraction010,hDIA02_2nd_fraction011,hDIA02_2nd_fraction012,hDIA02_2nd_fraction013,hDIA02_2nd_fraction014,hDIA02_2nd_fraction015,hDIA02_2nd_fraction016,hDIA02_2nd_fraction017,hDIA02_2nd_fraction018,hDIA02_2nd_fraction019,hDIA02_2nd_fraction020,hDIA02_2nd_fraction021,hDIA02_2nd_fraction022,hDIA02_2nd_fraction023,hDIA02_2nd_fraction024,hDIA02_2nd_fraction025,hDIA02_2nd_fraction026,hDIA02_2nd_fraction027,hDIA02_2nd_fraction028,hDIA02_2nd_fraction029,hDIA02_2nd_fraction030,hDIA02_2nd_fraction031,hDIA02_2nd_fraction032,hDIA02_2nd_fraction033,hDIA02_2nd_fraction034,hDIA02_2nd_fraction035,hDIA02_2nd_fraction036,hDIA02_2nd_fraction037,hDIA02_2nd_fraction038,hDIA02_2nd_fraction039,hDIA02_2nd_fraction040,hDIA02_2nd_fraction041,hDIA02_2nd_fraction042,hDIA02_2nd_fraction043,hDIA02_2nd_fraction044,hDIA02_2nd_fraction045,hDIA02_2nd_fraction046,hDIA02_2nd_fraction047,hDIA02_2nd_fraction048,hDIA02_2nd_fraction049,hDIA02_2nd_fraction050,hDIA02_2nd_fraction051,hDIA02_2nd_fraction052,hDIA02_2nd_fraction053,hDIA02_2nd_fraction054,hDIA02_2nd_fraction055,hDIA02_2nd_fraction056,hDIA02_2nd_fraction057,hDIA02_2nd_fraction058,hDIA02_2nd_fraction059,hDIA02_2nd_fraction060,hDIA02_2nd_fraction061,hDIA02_2nd_fraction062,hDIA02_2nd_fraction063,hDIA02_2nd_fraction064,hDIA02_2nd_fraction065,hDIA02_2nd_fraction066,hDIA02_2nd_fraction067,hDIA02_2nd_fraction068,hDIA02_2nd_fraction069,hDIA02_2nd_fraction070,hDIA02_2nd_fraction071,hDIA02_2nd_fraction072,hDIA02_2nd_fraction073,hDIA02_2nd_fraction074,hDIA02_2nd_fraction075,hDIA02_2nd_fraction076,hDIA02_2nd_fraction077,hDIA02_2nd_fraction078,hDIA02_2nd_fraction079,hDIA02_2nd_fraction080,hDIA02_2nd_fraction081,hDIA02_2nd_fraction082,hDIA02_2nd_fraction083,hDIA02_2nd_fraction084,hDIA02_2nd_fraction085,hDIA02_2nd_fraction086,hDIA02_2nd_fraction087,hDIA02_2nd_fraction088,hDIA02_2nd_fraction089,hDIA02_2nd_fraction090,hDIA02_2nd_fraction091,hDIA02_2nd_fraction092,hDIA02_2nd_fraction093,hDIA02_2nd_fraction094,hDIA02_2nd_fraction095,hDIA02_2nd_fraction096,hDIA02_2nd_fraction097,hDIA02_2nd_fraction098,hDIA02_2nd_fraction099,hDIA02_2nd_fraction100,hDIA02_2nd_fraction101,hDIA02_2nd_fraction102,hDIA02_2nd_fraction103,hDIA02_2nd_fraction104,hDIA02_2nd_fraction105,hDIA02_2nd_fraction106,hDIA02_2nd_fraction107,hDIA02_2nd_fraction108,hDIA02_2nd_fraction109,hDIA02_2nd_fraction110,hDIA02_2nd_fraction111,hDIA02_2nd_fraction112,hDIA02_2nd_fraction113,hDIA02_2nd_fraction114,hDIA02_2nd_fraction115,hDIA02_2nd_fraction116,hDIA02_2nd_fraction117,hDIA02_2nd_fraction118,hDIA02_2nd_fraction119,hDIA02_2nd_fraction120,hDIA02_2nd_fraction121,hDIA02_2nd_fraction122,hDIA02_2nd_fraction123,hDIA02_2nd_fraction124,hDIA02_2nd_fraction125,hDIA02_2nd_fraction126,hDIA02_2nd_fraction127,hDIA02_2nd_fraction128,hDIA02_2nd_fraction129,hDIA02_2nd_fraction130,hDIA02_2nd_fraction131,hDIA02_2nd_fraction132,hDIA02_2nd_fraction133,hDIA02_2nd_fraction134,hDIA02_2nd_fraction135,hDIA02_2nd_fraction136,hDIA02_2nd_fraction137,hDIA02_2nd_fraction138,hDIA02_2nd_fraction139,hDIA02_2nd_fraction140,hDIA02_2nd_fraction141,hDIA02_2nd_fraction142,hDIA02_2nd_fraction143,hDIA02_2nd_fraction144,hDIA02_2nd_fraction145,hDIA02_2nd_fraction146,hDIA02_2nd_fraction147,hDIA02_2nd_fraction148,hDIA02_2nd_fraction149,hDIA02_2nd_fraction150,hDIA02_2nd_fraction151,hDIA02_2nd_fraction152,hDIA02_2nd_fraction153,hDIA02_2nd_fraction154,hDIA02_2nd_fraction155,hDIA02_2nd_fraction156,hDIA02_2nd_fraction157,hDIA02_2nd_fraction158,hDIA02_2nd_fraction159,hDIA02_2nd_fraction160,hDIA02_2nd_fraction161,hDIA02_2nd_fraction162,hDIA02_2nd_fraction163,hDIA02_2nd_fraction164,hDIA02_2nd_fraction165,hDIA02_2nd_fraction166,hDIA02_2nd_fraction167,hDIA02_2nd_fraction168,hDIA02_2nd_fraction169,hDIA02_2nd_fraction170,hDIA02_2nd_fraction171,hDIA02_2nd_fraction172,hDIA02_2nd_fraction173,hDIA02_2nd_fraction174,hDIA02_2nd_fraction175,hDIA02_2nd_fraction176,hDIA02_2nd_fraction177,hDIA02_2nd_fraction178,hDIA02_2nd_fraction179,hDIA02_2nd_fraction180,hDIA02_2nd_fraction181,hDIA02_2nd_fraction182,hDIA02_2nd_fraction183,hDIA02_2nd_fraction184,hDIA02_2nd_fraction185,hDIA02_2nd_fraction186,hDIA02_2nd_fraction187,hDIA02_2nd_fraction188,hDIA02_2nd_fraction189,hDIA02_2nd_fraction190,hDIA02_2nd_fraction191,hDIA02_2nd_fraction192
P31946,YWHAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153225.1681,100586.4026,219888.1819,282460.1616,241578.2921,265755.9309,364111.5063,321244.932,372028.7349,422065.7942,504847.7031,637491.8931,525784.6624,648572.9798,587080.4693,608737.3025,993223.7644,1016636.976,1129061.208,1030183.1,1394514.368,1127338.854,1004959.374,987761.0876,1122108.192,1051414.997,1314723.174,1582171.729,2034612.378,1805726.01,2879322.449,4648081.754,4074861.856,6550307.591,2251084.472,1023360.074,732653.6113,666704.5271,827680.9917,1444195.162,1428263.744,2537423.338,4250037.046,4510275.996,6939373.821,9842418.891,14864875.01,20999490.92,23642995.79,21779526.31,19841151.76,14702881.92,7000525.923,7848712.324,9408751.524,4934498.229,1676337.304,1564321.163,1542367.715,1641960.219,1239369.558,1070854.078,1216303.972,1225182.422,1210027.485,1067775.818,1008087.722,1184115.496,1030856.517,1186202.917,1681632.406,2395719.342,4417470.982,2436457.318,6162318.873,13532129.42,15511551.8,26707797.66,29771940.38,32920002.53,38982378.34,34876640.54,31913268.5,29122645.82,30276707.13,35045775.76,40218376.4,4896469.761,37773605.51,45365819.53,55808314.81,93988145.23,225559974.9,365481430.4,495324172.7,656651198.4,673459795.2,988684353.1,702318068.9,395339063.2,182186399.3,112487236,52439232.04,51762776.58,30219024.27,27586388.27,20948231.76,22661777.77,14618645.94,12491539.18,17971497.68,13257471.14,11037997.3,14330837.92,13913353.72,14860925.53,12061789.69,12564668.16,10424299.76,10267571.85,8290348.038,3966385.879,3200297.917,3766388.076,3726265.927,3714749.836,4563696.054,3000045.845,3002232.624,1771264.376,2461596.979,2158374.322,1684502.279,1963353.212,1868313.473,1698552.978,1342959.65,1498383.839,2035696.054,1162097.182,1634694.909,1575896.428,1299116.5,1700957.397,1479417.131,1231250.981,1628364.377,1559326.12,1713187.808,1408132.425,1676156.673,1230954.887,1023457.4,1128951.101,1099345.3,1425092.882,1059601.325,1453444.207,1634968.134,944467.3985,737625.912,914336.7865,511065.4079,818793.3264,766088.0456,700181.0526,635179.684,689242.0648,537512.5727
P62258,YWHAE,NA,2356372.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453234.3142,NA,NA,1672767.366,1397250.811,NA,771676.3573,NA,NA,1174362.526,1129823.311,702649.2058,NA,586621.8243,NA,498084.6148,NA,NA,NA,NA,NA,NA,1783513.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25122428.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2650907.331,10638718.45,22157514.21,16654645.39,15615041.18,19842620.99,44159973.91,53936551.27,77499508.44,56226069.37,14966815.5,7682148.478,7999242.711,7861750.497,6519545.98,4988201.997,6022024.395,5408770.975,4150557.902,3966483.53,3759888.333,3579682.497,3577851.484,4656005.435,9598270.72,9907631.248,9447480.972,12601718.14,5603689.568,14465635.31,28739152.72,40336288.42,67646997.61,105912065.4,150023081.2,206642931.4,210917766.8,136498383.4,62267207.72,48728483.77,38866287.53,33141372.21,10155192.44,33107802.66,54920136.58,78489565.03,179121067.6,667217048.5,1318687358,2199245418,3141653211,3444819400,3670650750,3280602215,2056112697,822191666.3,449958480.6,220743737.2,189228955.7,142695529.6,102507568.7,83218966.67,77990757.25,65842356.19,49461513.2,53617078.17,49521698.49,42385670.48,55789284.12,55208906.57,58113760.8,49718615.03,50703219.58,44581969.81,41858461.1,31308974.5,18099623.5,19420517.7,18641254.31,19373759.54,15546032.64,19284118.15,15080918.6,14640419.43,8971930.168,11182042.81,10296097.89,8685254.218,9709718.291,8804033.22,9369948.008,5863861.516,9870197.578,10629514.08,5138836.659,9659671.937,8830825.202,8701567.367,9247092.668,9061927.959,8825790.222,7455519.404,8243608.735,8121811.71,7952408.265,8360358.9,8614632.715,6101573.235,5503579.683,7254296.803,7227470.514,8223847.576,8012557.331,6799851.712,6741434.96,5333784.948,6567096.247,2773232.596,5422737.243,4815434.013,4358210.39,4128956.86,4592747.9,3049184.896
Q04917,YWHAH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333258.282,NA,NA,NA,NA,67988.35649,NA,NA,NA,110804.8716,124095.8622,NA,NA,NA,NA,NA,103933.6554,243160.121,183416.9289,464773.0318,1016102.032,1380263.439,1889558.87,2334816.486,4181572.82,2705586.278,1296362.101,961420.7612,1697622.835,2831327.075,3590364.566,4680308.638,4590482.471,4402756.43,5617691.348,5894591.957,14026453.79,32012510.63,36264191.44,24426729.7,14270196.79,11407140.64,7253870.291,6963437.754,6957482.65,4223652.341,NA,NA,1924395.947,2589281.747,2089007.64,2401354.516,1755988.241,1769415.154,1348673.453,1724128.947,972773.7032,1849444.438,2313314.261,2178767.667,3397112.479,3015341.554,3724885.582,4513288.438,2735396.067,6025666.652,11086208.8,10893341.46,19562283.54,40248411.11,68931095.37,89852678.09,72827125.47,44867160.18,26296680.82,21230127.6,22034913.19,21992762.68,7215437.822,18109712.88,21800436.29,20150981.8,32281296.43,91867566.25,181686292.5,439867773.2,823674962.6,1199845895,1879033593,1250098436,603910436,236502629.5,128765872.6,56030253.79,48757349.26,36495570.1,27118010.96,20920883.41,17622503.25,14748975.09,9559371.705,13405554.79,11943454.34,10700906.68,13985882.71,13661563.57,15630471.95,12184448.08,11166778.09,10879947.66,11466508.27,7736607.897,4304676.543,3935206.757,4207857.498,3512866.062,3457109.195,4047288.543,2549553.31,2570846.519,1908420.433,2383667.547,2261896.55,1661126.919,1998147.019,1964183.02,1685322.785,1355925.249,1701981.832,1980613.879,1145479.791,1984965.586,1839889.713,1582919.084,1707809.9,1598408.754,1400333.68,1353866.612,1382422.265,1602919.344,1460137.146,1445751.552,1385543.608,1098453.478,999611.8528,1136363.224,1094795.802,1233688.977,1356096.397,1303638.495,1138110.283,896134.0765,1034447.063,512912.8046,962815.4877,864160.7795,663818.623,720202.4004,621540.4279,513763.1608
P61981,YWHAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67635.66273,NA,97378.03438,203717.853,NA,68171.39432,140117.4239,345435.9115,121593.3597,91957.00465,229340.6899,355937.3009,479164.4688,637605.8574,1051748.5,1174942.218,1427033.864,1364940.96,1249107.209,1296580.829,1023938.353,1243344.282,496858.1872,826692.6779,827172.6818,1100783.947,974282.2588,2092179.922,3425614.357,3694315.089,1862836.283,1525962.589,1480319.312,1088744.967,1643533.318,3658640.387,2117024.518,8221396.405,3736640.39,4859052.041,8214188.496,23216510.2,69029637.86,118331874.5,119415157.8,87112441.54,49039058.65,49722701.8,72194089.41,60213529.81,34680274.69,27414283.34,13302986.21,2329082.696,10147991.06,5602447.72,4252435.345,6155952.207,3463722.606,4824459.785,3150153.193,4748335.165,3439241.089,3562269.242,5521947.121,4011695.72,5139490.084,4578366.365,9324289.82,17448806.21,12212982.86,41776853.77,95149487.32,86904203.68,110852885,81442486.89,116288794,160532592.6,160619753.1,147296801.7,93411413.61,63715700.03,55915191.37,49004819.12,10601472.44,39732803.95,51486061.37,64478433.11,120282384.9,341141394.6,624527312,1173087108,1907308488,2568254340,3397656530,2727657793,1857218748,652285804.6,462491563.1,197956174.6,178407026.5,118328739.1,99347304.92,67844428.73,61913834.08,51154030.01,36719555.05,51745037.69,40494462.78,31944193.8,39997048.73,36869470.86,43251623.34,37929468.11,36182256.27,31452061.15,31985888.61,23740453.4,13508355.36,13211600.08,14828521.34,12429248.62,12993081.96,14174877.16,9243652.52,9636169.345,6444942.814,8810123.715,8821380.23,6554117.23,6651506.236,6562932.163,6435376.791,4396460.708,5501802.925,7088358.108,3410121.881,6966849.737,6513276.895,5301699.488,6507257.364,5893719.966,5227418.531,4928442.06,5821973.682,6490860.199,5126055.787,5351654.262,5403280.112,4390641.809,3707334.828,4686959.633,4504216.794,4983366.206,5191512.026,5156853.101,4639910.265,3194045.697,4002844.954,2021892.59,3708271.382,3486685.175,2425114.423,3054406.828,3041134.013,2856001.424
P31947,SFN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31733.5798,NA,NA,NA,NA,NA,NA,NA,20454.18889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790844.923,1009966.128,804077.3499,866107.0519,694907.0407,599423.3153,553720.9722,783639.0012,1760829.341,3989752.516,32781.82661,7996295.999,9663765.61,5902564.671,4484930.704,3098821.998,1928869.078,1018175.145,804335.6296,653663.2913,644871.8776,575476.2366,1231724.52,453471.4956,365788.3718,194177.7047,240561.0589,249895.8523,160207.1246,189526.2261,194191.5446,194619.5904,NA,NA,167646.0131,NA,152155.2118,248924.0009,NA,184408.0333,223844.209,162138.2144,226576.3615,114787.9608,58320.03427,124978.2024,880507.5337,88174.83379,84185.54377,109832.6436,59977.38116,98223.52807,NA,54684.53759,53559.54215,33693.76532,NA,53867.02577,NA,NA,NA,54473.18689,NA,33172.74513,NA,NA,92061.03972,43228.53759,NA,NA,51535.08135,2465612.574,NA,NA,NA,16735.69238,27570.99363,NA,NA,NA,33991.35842,NA,18477.58479,NA,NA,NA,NA,NA,13533.25345,NA,NA,NA
P27348,YWHAQ,103321.688,NA,55103.86455,NA,67317.32283,NA,50457.46271,42887.95826,44967.63006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41926.64673,NA,NA,NA,44990.60362,NA,58414.49467,66301.49618,NA,NA,58433.24134,NA,NA,NA,101483.8034,NA,NA,NA,NA,NA,NA,125002.5113,NA,143488.6921,NA,236726.4951,284303.4128,369927.9298,326157.6551,658491.8075,597304.9406,1733175.957,2021956.61,2822034.722,5319591.576,6901363.743,5134351.628,4290546.402,5579200.887,6196476.182,10362690.08,5872951.132,4375123.535,2871082.37,2680057.92,4840416.576,6833907.354,4992364.229,3015259.014,2515310.216,1695373.158,912668.7902,NA,NA,1630284.552,2008705.704,2087284.554,2385678.213,NA,1665262.271,1902067.306,1990715.176,2187535.095,2736131.766,2163977.221,2410895.878,2817471.633,3519702.178,6610196.573,8032382.723,7692312.308,13330784.79,12587377.45,17934671,18292583.62,19780107.02,20201064.54,17880535.58,15748296.52,15903199.44,12577351.32,22302016.62,18703997.34,4064693.604,26240061.18,32050684.76,44414255.2,94616037.25,219620396.3,344239472.1,453862258.1,683937199.3,621164460.4,936539892.2,761921345.9,575925286.4,308799105,277334415.4,170834482,194022103.7,166604484.4,148934957.9,112387540.4,87993621.33,91806316.18,64628696.33,84306825.54,62322156.17,52499931.04,62558079.14,54484701.19,66239489.45,53220995.34,55696254.75,49580277.27,51476986.98,37779036.84,20477628.23,20074595.17,17926665.51,18385905.06,18063860.44,22055191.62,15289748.26,14275677.7,10409369.24,13288476.87,11867053.37,9494118.34,12236568.18,9725675.14,11618553.15,7714477.822,8672233.777,13507210.89,5667235.817,10778565.75,12335313.08,9013408.045,11750465.24,10419145.02,7726165.794,9800577.307,9486379.02,10640824.81,8694841.555,8997930.269,8540055.121,4986664.473,5770301.33,7945788.21,8425872.364,7624392.632,8075685.744,9318621.129,6529583.065,5051223.083,6832954.381,2584854.822,5526176.479,5429951.528,4094891.899,4366767.502,3703053.014,1536534.66
P63104,YWHAZ,185178.2242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33266.64507,NA,NA,NA,NA,NA,NA,NA,NA,95403.73995,NA,48289.84119,NA,NA,38766.3686,NA,NA,NA,NA,NA,NA,NA,NA,795328.2015,NA,NA,NA,NA,NA,NA,NA,342870.8351,NA,140287.583,172998.8705,143196.9202,312166.9206,391441.4531,406529.5159,580366.6755,557956.2355,1483099.455,2229505.343,2116511.375,2974591.105,4561493.71,6786306.685,6833737.761,7163392.654,6980283.723,17573366.02,51963125.02,71628510.29,61216478.49,40358702.98,23823387.12,13674104.03,11980029.09,30561081.78,54092991.27,24523787.26,8160999.579,3895571.412,4925779.084,3869138.426,4608320.534,6227189.447,5023917.057,5200274.266,3893766.785,3992255.881,2857893.955,3233785.045,3976190.206,3997750.94,4815611.31,6453355.659,12363030.66,38707946.58,37306991.02,91054234.34,137973420.2,108833029,98885240.73,94280165.87,110571542.2,126883576.9,94879761.88,67553785.97,48910046.68,40829828.49,44487733.19,46785861.65,16944318.38,57747204.2,118528030.2,227521611.8,504639974.7,1409660906,2092366064,2717453994,3114009834,3392169570,3521552423,2337193262,1239400496,539499127.2,337722584.1,183253872.6,182150958.7,135840608.6,113793685.3,102621814.8,85881037.02,87696260.4,52682297.06,72943816.69,59735013.33,49710455.79,57779072.81,57341929.52,61789619.34,51224246.51,49955686.51,49883267.64,45808973.35,35431872.21,20983857.55,19552660.59,21900645.35,20994038.72,21301895.22,24184164.1,16597495.84,14983617.55,11358635.32,14869911.82,14124570.49,9688195.268,12508480.66,11562829.83,12187210.74,7805022.898,10097591.34,11956319.12,6994845.627,11493066.66,9422985.241,9430352.236,10565344.89,9545768.874,8283993.944,9285248.048,8868903.343,11399953.8,9051381.788,9762700.657,9028005.948,6644892.74,6727374.412,6992278.942,8364850.97,7654723.121,8933129.112,9112908.36,6664275.097,5305972.118,6407852.002,3091758.716,5668446.508,5276259.159,4733663.29,3958852.433,5049074.196,3626950.776
Q15172,PPP2R5A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729589.0964,1579252.576,1764123.541,1195224.644,1387143.431,981140.9389,1000510.498,1200299.065,1111079.171,1728028.143,1982995.091,1876084.182,1666287.406,2277239.054,1283577.923,2962649.898,4048836.346,5129585.051,5489168.308,4623357.096,4651165.941,2471281.616,2695985.442,2040348.909,1190626.713,1211352.772,1104663.378,966501.994,478175.7605,575877.1626,470700.7415,477459.3663,369389.4853,96681.64826,82090.33795,96328.85237,NA,84533.78264,NA,NA,NA,NA,NA,NA,11582.64118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15173,PPP2R5B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126819,98597.9,NA,NA,122225,NA,107864,NA,NA,118566,110021,243926,366005,515727,422091,529612,485661,269766,341589,253711,236565,130308,122120,NA,68847.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q14738,PPP2R5D,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140260.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2811172.188,NA,NA,NA,NA,NA,NA,5107198.037,5428212.037,6492386.652,NA,6211208.325,5853317.721,10457920.52,13519913.61,9592795.118,6764421.498,NA,NA,NA,6072319.531,6803850.778,2533074.893,3622981.744,3817866.966,2771362.7,2739922.855,2490821.325,1621796.073,4798307.068,2146383.305,2021786.53,1227503.895,1264941.517,924977.272,971190.665,NA,1182750.21,916958.6222,828921.7235,449410.805,771517.1877,656105.857,584579.7224,992835.5104,1352330.819,2084870.373,1871950.847,2135166.082,1543082.974,1501660.168,1060865.272,1259018.181,1228358.248,1156989.929,1256999.447,983462.8069,1066486.433,603819.4337,733045.6702,NA,372309.7933,NA,498242.8875,437118.3914,362371.614,313965.9887,225656.1564,328397.2144,230808.5415,NA,88198.32318,130671.3004,99233.03129,NA,139898.7588,65960.49097,NA,NA,57767.61448,83031.14962,NA,32768.56876,NA,NA,NA,NA,51197.78783,NA,NA,59408.03636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
