idno,complex_id,protein_id
1,BCL6-HDAC4 complex,P41182
1,BCL6-HDAC4 complex,P56524
2,BCL6-HDAC5 complex,P41182
2,BCL6-HDAC5 complex,Q9UQL6
3,BCL6-HDAC7 complex,P41182
3,BCL6-HDAC7 complex,Q8WUI4
4,Multisubunit ACTR coactivator complex,Q09472
4,Multisubunit ACTR coactivator complex,Q92793
4,Multisubunit ACTR coactivator complex,Q92831
4,Multisubunit ACTR coactivator complex,Q9Y6Q9
10,Condensin I complex,O95347
10,Condensin I complex,Q15003
10,Condensin I complex,Q15021
10,Condensin I complex,Q9BPX3
10,Condensin I complex,Q9NTJ3
11,BLOC-3 (biogenesis of lysosome-related organelles complex 3),Q92902
11,BLOC-3 (biogenesis of lysosome-related organelles complex 3),Q9NQG7
12,BLOC-2 (biogenesis of lysosome-related organelles complex 2),Q86YV9
12,BLOC-2 (biogenesis of lysosome-related organelles complex 2),Q969F9
12,BLOC-2 (biogenesis of lysosome-related organelles complex 2),Q9UPZ3
13,CDS1 -MUS81 complex,Q92903
13,CDS1 -MUS81 complex,Q96NY9
15,NCOR complex,O15379
15,NCOR complex,O60907
15,NCOR complex,O75376
15,NCOR complex,Q13227
15,NCOR complex,Q92828
15,NCOR complex,Q9BZK7
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),O95295
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),P78537
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),Q6QNY0
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),Q6QNY1
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),Q8TDH9
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),Q96EV8
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),Q9NUP1
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),Q9UL45
27,Arp2/3 protein complex,O15143
27,Arp2/3 protein complex,O15144
27,Arp2/3 protein complex,O15145
27,Arp2/3 protein complex,O15511
27,Arp2/3 protein complex,P59998
